Location,Milk,Rent,Meal,Water
"Sitka, AK",5.50,0,37.50,0
"Smithtown, NY",4.68,"1,500.00",17.00,1.79
"Smyrna, GA",3.65,"1,800.00",17.00,1.79
"Solon, OH",2.70,0,0,0
"Somerset, KY",3.62,600.00,20.00,0
"Somerset, NJ",4.32,"2,600.00",17.50,1.50
"Somerville, MA",4.00,"2,750.00",25.00,0
"Sonora, CA",6.07,0,17.50,2.25
"South Bend, IN",3.05,"1,378.67",15.00,1.55
"South Portland, ME",0,"1,950.00",15.00,2.50
"Southampton, NY",4.68,0,17.00,1.79
"Southaven, MS",0,0,19.00,2.08
"Southbridge, MA",4.32,0,17.50,2.16
"Spanish Fork, UT",3.70,0,10.00,0
"Spartanburg, SC",2.08,0,30.00,2.00
"Spokane, WA",3.87,"1,508.33",24.50,2.22
"Spring Hill, FL",4.47,800.00,11.25,2.50
"Spring Hill, TN",3.99,"1,900.00",10.00,1.25
"Spring Valley, IL",3.29,0,17.00,1.57
"Spring, TX",4.13,"1,733.33",15.00,1.27
"Springfield, IL",3.29,"1,100.00",22.00,1.00
"Springfield, MA",4.69,900.00,17.05,1.50
"Springfield, MO",3.45,825.00,12.00,1.73
"Springfield, OH",3.39,0,0,0
"Springfield, OR",3.86,"1,200.00",20.00,1.65
"Springfield, VA",3.47,"1,504.50",20.00,2.04
"St. Augustine, FL",0,0,0,0
"St. Cloud, MN",0,0,0,0
"Stamford, CT",3.50,"2,800.00",17.00,1.79
"Stanford, CA",4.50,600.00,20.00,2.67
"Starkville, MS",4.27,975.00,15.00,1.75
"State College, PA",3.51,"1,200.00",18.00,1.93
"Staten Island, NY",5.00,"1,800.00",25.00,1.00
"Statesboro, GA",4.43,900.00,13.50,1.98
"Staunton, VA",2.79,"1,695.00",20.00,2.00
Sterling,0,0,0,0
"Stevens Point, WI",3.12,600.00,12.00,1.75
"Stillwater, MN",4.00,"1,500.00",20.00,0
"Stillwater, OK",3.33,"1,066.67",15.00,1.25
"Stockton, CA",5.61,"1,500.00",25.00,2.25
"Streamwood, IL",2.72,"1,800.00",15.00,1.83
"Stroudsburg, PA",4.32,800.00,15.00,1.90
"Stuart, FL",3.20,"2,100.00",0,0
"Suffolk, VA",3.29,"1,100.00",39.00,2.00
"Sugar Land, TX",3.64,0,16.50,1.94
"Summerville, SC",3.59,"2,000.00",18.00,1.99
"Summit, NJ",4.69,"2,750.00",30.00,0
"Sumter, SC",3.00,850.00,20.00,1.50
"Sun City Center, FL",0,0,0,3.00
"Sunnyvale, CA",5.12,"2,883.33",20.00,2.50
"Surprise, AZ",3.94,"1,700.00",22.00,1.91
"Suwanee, GA",3.64,"1,500.00",19.50,0
"Sylva, NC",2.60,0,0,0
"Sylvania, OH",0,829.87,0,0
"Syracuse, NY",3.69,"1,689.21",16.20,1.79
"Tacoma, WA",4.27,"1,802.50",15.00,2.92
"Tallahassee, FL",4.75,"1,150.00",14.75,1.75
"Tampa, FL",4.42,"2,030.86",20.00,2.08
"Taos, NM",4.13,"1,400.00",13.00,1.67
"Taunton, MA",3.55,"1,500.00",20.00,3.00
"Taylor, TX",3.52,"1,325.00",0,0
"Temecula, CA",4.35,"2,083.00",17.50,1.99
"Tempe, AZ",3.70,"1,966.67",20.00,2.19
"Temple, TX",3.59,"1,600.00",16.00,1.70
"Terre Haute, IN",2.16,775.00,13.00,1.25
"Texarkana, AR",3.84,0,16.00,1.69
"Texarkana, TX",3.09,850.00,30.00,5.00
"Texas City, TX",3.58,"1,100.00",17.65,1.93
"The Dalles, OR",4.00,"1,200.00",0,0
"The Villages, FL",4.18,"1,750.00",15.00,2.00
"The Woodlands, TX",3.98,"1,850.00",20.00,2.27
"Thornton, CO",3.94,"2,500.00",11.00,0
"Thousand Oaks, CA",4.52,"2,590.33",22.00,2.48
"Three Rivers, MI",4.36,0,0,0
"Tiffin, OH",3.00,"1,050.00",10.00,2.00
"Toledo, OH",2.90,"1,066.67",20.00,1.00
"Toms River, NJ",4.99,"1,650.00",18.25,1.30
"Tooele, UT",2.98,0,16.50,1.81
"Topeka, KS",3.12,"1,173.33",14.00,1.50
"Torrance, CA",4.74,"2,250.00",22.00,1.99
"Torrington, CT",5.12,"1,100.00",20.00,2.25
"Traverse City, MI",2.72,"1,500.00",15.00,1.83
"Trenton, NJ",5.04,"1,600.00",22.50,2.00
"Troy, MI",2.53,"1,083.33",18.00,2.00
"Troy, NY",4.06,0,19.00,2.22
"Truckee, CA",0,"1,750.00",20.00,0
"Trumbull, CT",4.59,0,17.00,1.79
"Tualtin,  OR",0,"1,500.00",0,0
"Tucson, AZ",3.94,"1,350.00",22.00,2.19
"Tulare, CA",3.27,0,0,0
"Tullahoma, TN",3.58,800.00,0,1.50
"Tulsa, OK",4.49,"1,078.33",20.00,1.80
"Tupelo, MS",3.63,"1,400.00",16.00,2.14
"Turlock, CA",0,"1,500.00",12.00,2.00
"Tuscaloosa, AL",3.92,"1,000.00",16.00,1.88
"Tustin, CA",4.54,"2,666.67",22.00,2.48
"Twin Falls, ID",2.32,"1,800.00",12.00,0
"Tyler, TX",3.25,"1,050.00",11.50,1.66
"Union City, CA",4.50,"3,850.00",0,0
"Union City, TN",3.72,592.50,12.00,1.10
"Union, SC",4.25,0,9.00,1.89
"Uniondale, NY",4.05,"1,800.00",17.99,1.90
"University Place, WA",4.00,"2,500.00",15.00,2.92
"Upland, CA",4.50,"1,500.00",22.00,2.48
"Upper Marlboro, MD",0,"1,050.00",20.00,2.00
"Urbana, IL",2.70,750.00,20.00,2.34
"Urbandale, IA",5.29,993.00,15.00,0.97
"Utica, NY",3.51,"1,025.00",15.00,1.93
"Vacaville, CA",0,0,15.00,3.00
"Valdez, AK",4.39,"1,200.00",17.25,2.00
"Valdosta, GA",3.05,"1,100.00",15.00,2.88
"Vallejo, CA",4.87,"1,575.00",20.00,2.02
"Valley Center, CA",3.60,0,25.00,1.99
"Valparaiso, IN",3.29,"1,500.00",15.00,1.57
"Van Wert, OH",3.78,550.00,0,0
"Vancouver, WA",4.54,"1,516.67",20.00,2.11
"Venice, FL",4.19,"2,400.00",20.00,2.29
"Ventura, CA",4.54,"2,633.33",21.50,2.48
"Vero Beach, FL",4.23,"1,200.00",21.00,2.12
"Victoria, TX",3.50,"1,100.00",28.50,2.00
"Victorville, CA",4.02,0,15.00,1.73
"Virginia Beach, VA",3.34,"1,560.38",20.00,2.23
"Visalia, CA",5.11,"1,300.00",18.00,1.00
"Vista, CA",3.65,"2,200.00",21.00,1.50
"Waccabuc, NY",5.04,0,22.50,2.57
"Waco, TX",3.79,"1,200.00",14.00,2.00
"Waikiki, HI",6.17,"2,400.00",20.00,2.50
"Wailuku, HI",8.00,"4,000.00",35.00,5.00
"Waipahu, HI",4.99,"1,600.00",20.00,2.50
"Wakefield-Peacedale, RI",4.75,"1,800.00",20.00,2.00
"Waldorf, MD",3.47,"1,800.00",20.00,2.04
"Walla Walla, WA",3.88,"1,383.33",24.50,1.25
"Wallingford, CT",4.68,"1,500.00",17.00,1.79
"Walnut Creek, CA",5.10,"2,433.33",25.00,1.83
"Walnut, CA",4.54,0,22.00,2.48
"Waltham, MA",3.89,"2,700.00",0,0
"Warner Robins, GA",3.06,"1,047.50",12.00,1.46
"Warren, MI",3.54,0,10.00,0
"Warren, OH",2.72,650.00,0,0
"Warrensburg, MO",3.50,650.00,12.00,0
"Warrenton, VA",3.47,0,20.00,2.04
"Warsaw, IN",3.51,0,10.00,0
"Washington, DC",4.19,"2,554.55",25.00,2.23
"Washington, MI",2.75,0,18.00,0
"Wasilla, AK",4.63,"1,400.00",38.50,2.00
"Waterbury, CT",4.30,800.00,17.00,1.79
"Waterford, MI",4.00,0,25.00,2.00
"Waterloo, IA",2.56,0,15.00,2.18
"Watertown, NY",2.72,900.00,15.00,1.93
"Watertown, SD",3.59,0,15.00,2.00
"Watford City, ND",3.60,0,0,0
"Waukesha, WI",3.29,"1,000.00",17.00,1.83
"Wausau, WI",3.29,0,17.00,1.57
"Waynesboro, VA",2.99,"1,600.00",11.00,2.80
"Weatherford, TX",3.19,0,20.00,2.27
"Webster, NY",3.78,"1,000.00",19.00,1.84
"Weed, CA",3.49,850.00,0,0
"Weirton, WV",2.99,650.00,16.00,2.00
"Wenatchee, WA",3.53,"1,600.00",27.00,2.90
"West Caldwell, NJ",4.06,"1,800.00",19.00,2.22
"West Chester, PA",5.61,"1,500.00",26.50,2.27
"West Hartford, CT",4.32,"2,750.00",17.50,2.16
"West Hollywood, CA",4.54,"2,900.00",22.00,1.99
"West Lafayette, IN",3.01,"1,400.00",15.50,0
"West Monroe, LA",5.00,0,30.00,2.40
"West New York, NJ",5.00,0,50.00,1.10
"West Palm Beach, FL",4.22,"2,700.00",16.49,2.33
"West Plains, MO",3.77,0,15.50,1.87
"Westborough, MA",4.32,0,17.50,2.16
"Westerville, OH",3.45,0,18.00,2.00
"Westminster, CA",4.54,0,20.00,2.48
"Weston, FL",5.00,"2,033.33",31.50,1.00
"Westport, CT",4.32,"2,850.00",17.50,2.16
"Wheaton, IL",3.14,"1,475.00",15.00,1.67
"Wheeling, WV",3.19,0,19.00,1.56
"White Plains, NY",5.04,"2,337.50",20.00,1.50
"Whitefield, NH",6.00,850.00,0,0
"Wichita Falls, TX",3.59,787.50,16.00,1.70
"Wichita, KS",3.33,900.00,18.00,1.67
"Wilkes-Barre, PA",3.69,0,16.20,1.79
"Williamsburg, VA",3.13,"2,750.00",25.00,2.23
"Williamsport, PA",4.32,0,17.50,1.80
"Willimantic, CT",3.36,"1,050.00",0,0
"Williston, ND",3.89,844.50,0,0
"Wilmington, DE",4.60,"1,400.00",15.00,1.00
"Wilmington, NC",3.62,"1,350.00",15.00,1.75
"Wilmington, OH",3.50,0,7.00,0
"Winchester, VA",3.47,"1,400.00",13.00,1.00
"Windsor, CT",4.32,"1,500.00",17.50,2.00
"Winnemucca, NV",3.50,0,15.00,0
"Winona, MN",0,0,15.00,1.00
"Winston-Salem, NC",0,0,0,0
"Winter Haven, FL",4.19,"1,400.00",16.50,1.60
"Woodbridge, NJ",4.32,"2,200.00",17.00,1.79
"Woodbridge, VA",4.17,"2,100.00",20.00,2.04
"Woodstock, GA",3.43,"1,300.00",12.00,2.16
"Woodstock, IL",2.94,900.00,0,0
"Woonsocket, RI",4.50,0,17.50,2.12
"Wooster, OH",3.19,"1,200.00",19.00,1.56
"Worcester, MA",3.26,"1,466.67",20.00,1.77
"Wyandotte, MI",3.33,900.00,15.50,1.78
"Wytheville, VA",4.65,0,40.00,3.00
"Yakima, WA",3.94,962.50,24.50,1.50
"Yelm, WA",3.98,0,7.50,2.11
"Yonkers, NY",4.78,"1,900.00",17.00,1.79
"Yorba Linda, CA",5.00,0,40.00,3.00
"York, ME",4.50,0,0,0
"York, PA",4.84,700.00,20.00,1.00
"Yorktown, VA",3.89,"1,300.00",25.00,2.23
"Youngstown, OH",3.51,"1,000.00",17.50,1.50
"Ypsilanti, MI",3.03,"1,366.67",16.00,2.00
"Yreka, CA",0,"1,115.00",25.00,1.50
"Yuba City, CA",4.03,"1,500.00",19.00,2.00
"Yucaipa, CA",7.13,"1,800.00",10.00,0
"Yucca Valley, CA",4.54,0,22.00,2.48
"Yuma, AZ",4.37,"1,200.00",16.00,1.81
"Zanesville, OH",3.33,0,15.50,1.78
"Zephyrhills, FL",4.23,"1,400.00",22.50,2.33
"Zion, IL",0,0,0,0
